19336,4,5,5801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19336,5,2,8939,1,1,1,1,3,1,3,1,3,3,3,2,3,1,3,3,1,1,3,3,1,1,3,3,1,3,4,1,3,3,1,1,
19336,5,2,9532,1,1,1,1,1,1,1,1,3,3,2,3,1,1,3,1,1,1,3,3,1,1,3,1,3,1,1,3,3,4,1,1,
19336,5,2,4071,1,,1,,1,,1,,3,,3,,1,,1,,1,,3,,1,,1,,1,,3,,4,,1,,
19336,6,3,2306,1,,2,,1,,1,,3,,2,,1,,1,,1,,4,,1,,4,,1,,1,,4,,1,,
19336,7,6,4089,1,1,1,2,1,1,1,1,3,3,3,3,1,1,1,1,1,1,4,4,1,1,1,1,3,1,1,1,4,4,1,1,
19336,7,6,4877,1,,2,,1,,1,,3,,3,,1,,1,,1,,4,,1,,1,,1,,1,,4,,1,,
19336,7,6,5760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19336,8,7,10338,1,1,4,3,1,1,1,1,4,4,4,3,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,4,4,1,2,
19336,8,7,2678,1,1,3,2,1,1,1,1,4,3,3,4,1,1,1,1,1,1,1,3,1,1,3,3,1,2,1,1,4,3,2,1,
19336,8,7,4070,1,,2,,1,,1,,3,,4,,1,,1,,1,,3,,1,,3,,2,,1,,3,,1,,
19336,8,7,5504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19336,9,5,1501,1,1,1,1,1,1,1,1,1,3,1,3,4,3,1,1,1,1,1,3,1,1,1,3,1,2,1,1,4,4,1,1,
19336,9,5,3105,1,1,1,1,1,2,1,1,3,3,3,3,3,2,1,1,1,1,3,1,1,1,3,4,2,3,1,1,4,4,1,1,
19336,9,5,5005,1,,1,,2,,1,,3,,3,,2,,1,,1,,1,,1,,4,,3,,1,,4,,1,,
19336,9,5,5503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19336,10,2,2345,1,2,3,1,1,1,1,1,3,3,3,3,1,3,1,2,1,2,3,1,1,1,3,3,1,3,1,1,4,4,1,,
19336,10,2,3104,2,,1,,1,,1,,3,,3,,3,,2,,2,,1,,1,,3,,3,,1,,4,,,,
